"POST ID","State","Make and Model","Post Date","Asking $"
"SIA36933","AR",,"17 JUL 2016","$50000"
"SIA36923","WI",,"14 MAY 2016","$16900"
"SIA36921","NH",,"15 MAY 2016","$47000"
"SIA36907","FL",,"25 JUN 2016","$59900"
"SIA36880","FL",,"01 MAY 2016","$26900"
"SIA36872","AL",,"17 MAY 2016","$21900"
"SIA36871","CA",,"14 MAY 2016",""
"SIA36869","FL",,"23 JUL 2016","$7999"
"SIA36838","AZ",,"16 MAY 2016","$14995"
"SIA36822","CA",,"15 MAY 2016","$6500"
"SIA36814","MD",,"15 MAY 2016","$18500"
"SIA36812","AZ",,"07 JUN 2016","$46995"
"SIA36804","OH",,"27 APR 2016","$32000"
"SIA36802","ME",,"27 APR 2016","$3500"
"SIA36750","TN",,"27 MAY 2016","$48000"
"SIA36707","FL",,"14 MAY 2016","$19700"
"SIA36702","ID",,"27 MAY 2016","$7500"
"SIA36697","NV",,"16 MAY 2016","$8995"
"SIA36694","TN",,"18 JUN 2016",""
"SIA36673","CO",,"19 APR 2016","$9500"
"SIA36646","MN",,"20 JUN 2016","$18950"
"SIA36635","AZ",,"19 JUN 2016","$55000"
"SIA36634","NC",,"16 MAY 2016","$29500"
"SIA36616","FL",,"22 JUN 2016","$41900"
"SIA36603","MS",,"16 MAY 2016",""
"SIA36593","OK",,"17 MAY 2016","$16000"
"SIA36579","TX",,"12 APR 2016","$66500"
"SIA36533","WA",,"13 JUL 2016","$36000"
"SIA36532","IL",,"10 APR 2016","$10500"
"SIA36509","KY",,"20 JUL 2016","$59900"
"SIA36506","FL",,"10 MAY 2016","$14000"
"SIA36487","MI",,"08 JUN 2016","$7500"
"SIA36479","FL",,"18 JUN 2016","$67500"
"SIA36460","MI",,"14 MAY 2016","$52000"
"SIA36441","FL",,"03 APR 2016",""
"SIA36429","IL",,"17 MAY 2016","$7200"
"SIA36426","FL",,"01 APR 2016","$23500"
"SIA36409","NS",,"12 JUN 2016","$52000"
"SIA36408","NJ",,"14 MAY 2016","$48900"
"SIA36396","WA",,"17 MAY 2016","$69000"
"SIA36391","NY",,"14 MAY 2016","$27000"
"SIA36379","CA",,"17 MAY 2016",""
"SIA36377","CA",,"17 MAY 2016",""
"SIA36372","MO",,"29 MAR 2016",""
"SIA36369","WA",,"08 JUN 2016","$12300"
"SIA36368","IL",,"16 APR 2016","$51500"
"SIA36367","NC",,"16 MAY 2016","$63000"
"SIA36345","WA",,"17 MAY 2016",""
"SIA36313","CA",,"24 MAR 2016","$42995"
"SIA36300","QC",,"27 JUN 2016","$20750"
"SIA36298","MI",,"17 MAY 2016","$21900"
"SIA36279","MI",,"25 MAR 2016","$29000"
"SIA36273","MI",,"10 JUL 2016","$34500"
"SIA36265","WA",,"14 MAY 2016","$24000"
"SIA36224","WI",,"27 MAY 2016","$18500"
"SIA36202","WI",,"18 JUN 2016",""
"SIA36170","MA",,"16 MAY 2016",""
"SIA36134","UT",,"19 JUN 2016",""
"SIA36133","FL",,"18 JUN 2016","$39995"
"SIA36098","AZ",,"05 JUL 2016","$59995"
"SIA36090","CA",,"17 MAY 2016",""
"SIA36081","WI",,"02 MAR 2016","$17500"
"SIA36072","UT",,"27 MAY 2016","$64995"
"SIA35992","OH",,"31 MAY 2016","$18500"
"SIA35967","PA",,"18 JUN 2016","$22500"
